Timestamp,Water Level (m),Battery (%),Sensor Status
2024-01-01 00:00:00,14.36,54.64,normal
2024-01-01 06:00:00,14.62,69.15,normal
2024-01-01 12:00:00,13.38,96.34,normal
2024-01-01 18:00:00,11.5,53.66,normal
2024-01-02 00:00:00,10.22,52.86,normal
2024-01-02 06:00:00,13.38,54.58,normal
2024-01-02 12:00:00,11.51,87.53,normal
2024-01-02 18:00:00,13.4,71.79,normal
2024-01-03 00:00:00,11.88,97.88,normal
2024-01-03 06:00:00,12.67,89.67,normal
2024-01-03 12:00:00,10.84,64.54,normal
2024-01-03 18:00:00,14.01,67.08,normal
2024-01-04 00:00:00,10.91,92.15,normal
2024-01-04 06:00:00,11.22,75.92,normal
2024-01-04 12:00:00,12.63,70.51,normal
2024-01-04 18:00:00,10.19,78.94,normal
2024-01-05 00:00:00,11.09,73.24,normal
2024-01-05 06:00:00,10.4,81.28,normal
2024-01-05 12:00:00,14.5,63.33,normal
2024-01-05 18:00:00,10.9,76.98,normal
2024-01-06 00:00:00,14.28,66.37,normal
2024-01-06 06:00:00,10.73,55.27,normal
2024-01-06 12:00:00,11.44,66.21,normal
2024-01-06 18:00:00,11.0,69.58,normal
2024-01-07 00:00:00,14.03,82.89,normal
2024-01-07 06:00:00,14.34,80.22,normal
2024-01-07 12:00:00,13.98,94.79,normal
2024-01-07 18:00:00,14.51,50.17,normal
2024-01-08 00:00:00,10.34,83.61,normal
2024-01-08 06:00:00,14.43,97.68,normal
2024-01-08 12:00:00,13.52,89.88,normal
2024-01-08 18:00:00,12.97,75.46,normal
2024-01-09 00:00:00,11.29,62.85,normal
2024-01-09 06:00:00,10.27,74.76,normal
2024-01-09 12:00:00,10.59,74.82,faulty
2024-01-09 18:00:00,12.57,51.8,normal
2024-01-10 00:00:00,10.97,96.3,normal
2024-01-10 06:00:00,11.21,75.21,normal
2024-01-10 12:00:00,11.16,92.41,normal
2024-01-10 18:00:00,11.62,64.97,normal
2024-01-11 00:00:00,14.09,57.42,normal
2024-01-11 06:00:00,11.46,66.87,faulty
2024-01-11 12:00:00,12.4,79.14,normal
2024-01-11 18:00:00,14.01,57.68,normal
2024-01-12 00:00:00,14.97,78.67,normal
2024-01-12 06:00:00,11.64,95.47,faulty
2024-01-12 12:00:00,13.1,83.76,normal
2024-01-12 18:00:00,11.63,67.86,normal
2024-01-13 00:00:00,12.06,55.57,normal
2024-01-13 06:00:00,13.48,60.24,normal
2024-01-13 12:00:00,12.03,56.13,normal
2024-01-13 18:00:00,12.37,58.36,faulty
2024-01-14 00:00:00,12.68,73.64,normal
2024-01-14 06:00:00,12.37,73.1,normal
2024-01-14 12:00:00,12.13,85.88,normal
2024-01-14 18:00:00,12.81,80.4,normal
2024-01-15 00:00:00,14.83,83.05,normal
2024-01-15 06:00:00,10.5,74.03,normal
2024-01-15 12:00:00,10.54,82.05,normal
2024-01-15 18:00:00,14.73,86.65,normal
2024-01-16 00:00:00,14.23,84.8,normal
2024-01-16 06:00:00,11.41,57.29,normal
2024-01-16 12:00:00,10.71,89.99,normal
2024-01-16 18:00:00,13.71,89.56,normal
2024-01-17 00:00:00,11.02,78.16,normal
2024-01-17 06:00:00,10.73,70.75,normal
2024-01-17 12:00:00,10.63,61.12,normal
2024-01-17 18:00:00,12.07,59.83,normal
2024-01-18 00:00:00,11.26,57.89,normal
2024-01-18 06:00:00,12.23,65.95,normal
2024-01-18 12:00:00,13.18,66.2,normal
2024-01-18 18:00:00,13.53,52.44,normal
2024-01-19 00:00:00,14.37,70.55,normal
2024-01-19 06:00:00,11.57,99.04,normal
2024-01-19 12:00:00,12.55,57.38,normal
2024-01-19 18:00:00,11.56,82.41,normal
2024-01-20 00:00:00,14.82,76.11,normal
2024-01-20 06:00:00,12.95,63.61,normal
2024-01-20 12:00:00,11.55,76.95,normal
2024-01-20 18:00:00,11.92,98.11,normal
2024-01-21 00:00:00,12.74,71.39,normal
2024-01-21 06:00:00,12.09,82.71,faulty
2024-01-21 12:00:00,10.12,69.36,normal
2024-01-21 18:00:00,13.22,89.23,normal
2024-01-22 00:00:00,12.84,94.73,normal
2024-01-22 06:00:00,11.69,82.78,normal
2024-01-22 12:00:00,10.35,73.81,normal
2024-01-22 18:00:00,10.44,92.81,normal
2024-01-23 00:00:00,14.7,94.38,normal
2024-01-23 06:00:00,14.88,50.81,normal
2024-01-23 12:00:00,10.49,73.96,normal
2024-01-23 18:00:00,14.36,74.35,normal
2024-01-24 00:00:00,12.11,70.81,normal
2024-01-24 06:00:00,11.1,89.79,normal
2024-01-24 12:00:00,11.28,97.53,normal
2024-01-24 18:00:00,13.23,87.88,normal
2024-01-25 00:00:00,11.07,77.78,normal
2024-01-25 06:00:00,11.67,54.41,normal
2024-01-25 12:00:00,10.11,67.55,normal
2024-01-25 18:00:00,11.47,62.44,normal
2024-01-26 00:00:00,11.35,76.77,normal
2024-01-26 06:00:00,10.66,68.29,normal
2024-01-26 12:00:00,13.02,50.83,normal
2024-01-26 18:00:00,14.86,68.34,normal
2024-01-27 00:00:00,14.54,54.1,normal
2024-01-27 06:00:00,12.74,94.87,normal
2024-01-27 12:00:00,11.57,64.83,normal
2024-01-27 18:00:00,13.94,87.75,normal
2024-01-28 00:00:00,11.78,66.79,normal
2024-01-28 06:00:00,14.69,90.56,normal
2024-01-28 12:00:00,12.12,99.22,normal
2024-01-28 18:00:00,12.14,70.42,normal
2024-01-29 00:00:00,13.23,94.26,normal
2024-01-29 06:00:00,12.22,98.0,normal
2024-01-29 12:00:00,13.55,60.79,normal
